"","baseline-03182015_S2","baseline-03272015_S8","baseline-05202015-Islet-15_S1","baseline-05222015-Islet-16_S6","baseline-09032015_S2","baseline-09102015_S7","baseline-10012015_S12","baseline-10292015_S17","Single-cell-bulk-03182015_S4","Single-cell-bulk-03272015_S10","Single-cell-bulk-05202015_S3","Single-cell-bulk-05222015_S8","Single-cell-bulk-c1-09032015_S5","Single-cell-bulk-c1-09102015_S10","Single-cell-bulk-c1-10012015_S15","Single-cell-bulk-c1-10292015_S20","undissociated-c1-ctrl-09032015_S3","undissociated-c1-ctrl-09102015_S8","undissociated-c1-ctrl-10012015_S13","undissociated-c1-ctrl-10292015_S18","Untreated-Ctrl-03182015_S3","Untreated-Ctrl-03272015_S9","Untreated-Ctrl-05202015_S2","Untreated-Ctrl-05222015_S7"
"ENSG00000164941",140.84,75.24,24.62,52.97,11.55,35.15,49.75,45.04,233.14,252,39.94,125.67,31.36,129.11,99.89,116.76,19.97,61.85,48.85,47.05,127.74,131.88,56.26,44.52
"ENSG00000257894",291.84,116.09,25.8,87.46,11.27,32.42,40.05,37.58,730.09,1060.78,56.01,253.81,20.33,145.36,215.95,159.02,17.79,86.67,50.14,40.37,239.4,225.38,69.16,97.34
"ENSG00000125691",21468.67,23567.03,12898.49,16506.42,2251.78,6663.6,12014.13,11127.65,11827.15,14125.43,15180.16,21250.69,5997.4,12941.54,14426.36,12928.81,7804.49,12365.2,13797.34,11978.69,18565.99,19213.78,25616.59,16580.12
"ENSG00000144579",46,62,149,383,27,148,235,136,65,170,127,511,118,224,279,226,137,158,249,161,61,87,173,346
"ENSG00000157216",44.03,72.03,38,160.24,14,75,73.62,112,64.07,119.28,15.78,158.98,63.61,126.97,128,72,49.45,64,88,82.84,49,88,30,127
"ENSG00000168350",6,14,27,163,10,18,113,41,11,67,27,261,35,34,35,24,27,14,62,19,24,15,19,137
"ENSG00000142233",41.74,27.93,14.92,32.81,1.63,14.81,21.4,26.6,78.57,114.74,34.26,27.29,19.31,28.91,29.63,14.5,25.63,7.89,24.35,11.72,59.97,49.45,37.3,23.8
"ENSG00000250349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137252",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000178229",141.28,92.65,31.91,86.77,23.95,28.86,44.61,42.61,94.81,119.17,49.85,130.06,91.87,96.51,94.59,69.55,64.95,46.52,83.49,43.12,76.18,84.42,63.34,82.96
"ENSG00000106479",17,28,15,128,29,95,71,89,38,47,18,165,70,156,90,104,68,110,83,93,26,27,28,124
"ENSG00000149305",5.01,8.3,1.63,6.31,1,3.25,1.02,15.33,12.08,18.2,12.18,9.67,2.63,10.28,4.21,9.41,7.07,0,9.64,7.33,3.53,3.12,4.7,8.14
"ENSG00000174194",20.88,12.15,7.26,86.03,12.52,8.47,25.15,27.92,61.38,41.1,9.11,120.63,23.34,43.62,81.49,33.06,33.26,20.78,58.34,19.74,14.17,28.09,12.46,115.23
"ENSG00000147036",8.14,16.83,4.07,5.97,0,0,3.92,3.45,14.67,21.64,1.83,9.42,1.15,8.92,11.63,3.52,2.02,2.2,1.35,4.47,10.57,7.86,1.94,9.55
"ENSG00000102468",6,2,0,4,0,5,1,13.99,15,31.01,0,4,6.08,1.04,0,11.79,2,2,3,9,6,3,0,3
"ENSG00000181135",5.1,10.14,5.76,13.63,0,5.19,5.52,9.19,13.72,23.39,21.27,18.31,10.32,11.15,10.37,13.51,7.62,6.14,23.76,5.96,7,5.67,11.85,23.63
"ENSG00000153093",28.19,16.83,4.13,42.31,2,17.94,12.16,29.08,47.74,55.75,5.23,77.8,19.95,30.34,28.06,52.48,11.14,17.02,22.42,33.01,29.54,24.28,4.17,36.01
"ENSG00000125864",5,5,7,31,4,4,23,21,2,15,12,34,11,17,12,15,19,24,16,23,11,5,8,24
"ENSG00000184459",5,8,73,19,2,6,5,10,18,15,51,14,4,22,43,12,5,27,6,4,3,12,86,5
"ENSG00000131845",24,38.22,24,69.09,8.45,39.96,45.92,65.7,59.64,93.84,10.6,107.29,35.18,79.79,60.77,74.91,31.54,54.5,63.79,77.33,25.47,45,20.6,57.13
"ENSG00000124217",693.24,462.58,215.33,597.22,76.69,135.47,417.64,343.5,562.79,807.38,422.38,622.12,263.04,312.34,290.44,346.36,297.1,177.63,296.83,224.4,524.44,513.84,287.44,528.58
"ENSG00000141655",45,50,30,50,8,26,42,40,49,67,28,63,22,82,63,50,32,44,37,51,49,45,28,48
"ENSG00000152104",99.6,62.55,60.61,103.34,11.16,27.51,123.5,58.66,98.41,167.48,76.42,147.14,22.27,44.22,57.25,93.54,57.62,41.37,100.09,41.8,77.38,101.48,72.57,67.43
"ENSG00000185250",338.16,276.79,57.38,119.22,33.08,59.27,103.57,93.37,348.47,442.14,151.7,167.31,73.7,116.7,99.6,147.88,88.2,47.95,100.12,61.42,295.22,301.83,139.04,87.13
"ENSG00000047597",2,8,2,11,0,0,6,6,8,7,1,5,0,7,8,8,7,7,5,15,6,7,2,4
"ENSG00000176920",467.07,311.89,117.34,359.86,74.69,84.59,385.74,278.61,589.6,689.73,225.44,411.78,134.8,169.73,356.52,294.74,274.51,129.28,388.57,219.64,434.93,373.58,222.05,302.66
"ENSG00000097007",34,45,68,163,16,55,120,69,40,70,35,150,62,126,119,66,50,73,115,77,31,49,54,122
"ENSG00000130816",410.48,390.92,145.88,675.56,89.21,202.17,324.06,290.56,623.55,874.26,202.6,712.67,256.83,418.03,395.53,310.57,257.31,248.09,348.32,247.52,484,513.78,240.24,560.84
"ENSG00000224714",2.68,0.67,0.56,0.78,0,1.25,4.12,0,5.75,1.79,0,0.56,5.35,0,0.69,0.44,0.81,2.47,0,0,0,0,0,4.78
"ENSG00000026559",1.04,0,0,1,0,3.81,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2.57,0
"ENSG00000152433",47,107.18,110.69,330.69,34.66,120.67,180.82,212.7,106.78,135.14,94.12,358.83,135.49,159.67,125.77,207.41,162.73,121.03,322.24,201.11,72.85,84.58,82.78,413.82
"ENSG00000196109",19,5.16,1.03,16.98,1,2.03,5.91,3.96,31.24,20.01,2,16.96,3.03,5,44.98,5.02,1,10.98,15.97,0.75,14,7.05,3.4,11
"ENSG00000213218",0,0,0,0,0,0,1,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225703",8,5,0.5,0,0.5,0.5,0,6.5,4.97,11.86,0,9,0,0,5,0,2,0.5,4.5,3.93,5.7,4.5,2,2
"ENSG00000196350",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000165168",66,15,3,8,0,5,5,5,84,22,0,8,10,5,18,26,9,15,11,7,32,15,4,4
"ENSG00000256060",157.82,320.83,95.36,324.68,69.06,195.43,265.36,354.86,485.85,697.38,106.44,670.38,275.97,540.08,497.1,459.79,258.78,367.19,349.09,364.88,276.29,363.44,129.45,414.78
"ENSG00000180992",400,716,504,1652,316,874,1931,1575,820,1260,555,2644,1155,1438,1710,1471,1463,1310,2485,1464,575,850,870,2074
"ENSG00000197360",5.85,2.08,1.13,9.99,2,4.99,21.85,11.99,18.13,22.6,0,15.26,8,5.09,26.5,12.45,19.48,7.1,12.99,9,11.37,11.99,2,5.82
"ENSG00000268133",0,0,0,0,0.4,0,0,0,0,0,2.48,0,0,0,0,3.68,4.73,0,1.45,3.85,0,0,0,1.46
"ENSG00000176909",7,12,13,49,4,15,25,21,14,32,10,76,14,54,28,34,24,19,32,30,18,16,14,47
"ENSG00000108344",28.9,23.87,36.54,112.95,8.01,36.83,67.2,38.51,24.27,46.02,47.54,102.42,59.63,80.73,72.09,68.94,47.12,23.6,51.67,40.9,26.47,45.13,63.06,73.64
"ENSG00000171723",77.89,100.67,47.93,278.84,61.25,132.53,134.57,206.75,177.58,198.71,36.37,442.4,141.19,270.92,156.62,232.15,155.49,219.48,166.9,235.54,104.37,133.08,54.31,252.73
"ENSG00000104365",77.77,71.71,66.32,201.21,22.44,70.42,130.43,86.67,135.15,177.51,76.17,177.43,100.87,164.34,167.5,153.24,95.29,79.6,150.86,109.12,88.32,104.44,84.62,146.87
"ENSG00000163798",627.91,661.98,660,1325.55,142.93,579.73,1185.02,805.84,1064,1335.89,493.28,1886.97,466.13,1113.98,1238.92,1023.53,606.34,931.45,1402.13,748.98,755.09,833.03,749.28,1523.79
"ENSG00000108255",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000108924",43,59,6,100,11,66,29,49,110,107,2,120,49,167,59,63,38,106,36,47,64,58,4,75
"ENSG00000166736",23,32,179,128,6,15,169,24,28,67,103,77,29,30,84,55,67,77,223,22,26,39,223,114
"ENSG00000135338",92,143,23,125,8,47,66,43,262,382,17,240,25,164,177,117,15,84,82,51,155,180,29,140
"ENSG00000166963",242,329,222,1432,293,872,562,1945,586,576,196,2083,1100,1171,546,1778,1140,1317,892,1934,339,478,200,1301
"ENSG00000213930",162,288,179,2108.63,279,669,1197,1244,457,634,194,2859.16,1044,943,716.88,1068.18,1172,1051,1649,1203,280.04,344,204,2266.1
"ENSG00000125868",6235,8306,5895.94,11269,1078,2976,7281,4483.01,8914.8,12560.67,3962,13153,3738,6761.99,7202.98,6286,3533,4378.2,7795,4789,8409,8873.38,5486.58,12337
"ENSG00000155034",506.79,361.06,142.18,287.74,82.64,107.41,321.01,233.48,557.7,676.65,391.98,426.86,239.73,287.18,210.43,313.63,226.24,120.86,260.15,205.09,377.78,423.82,277.09,241.65
"ENSG00000051382",25.06,33,31,35,6,18,26,12,84,122.02,13,77,14.01,56,56,56,14,32,24.02,20,47.07,41.01,36,24
"ENSG00000136758",597.76,797.61,408.56,902.4,134.65,430.85,683.06,786.39,954.39,1495.65,399.87,1238.67,427.91,1197.72,1299.36,1048.71,403.04,836.65,864.24,725.07,808.34,911.26,477.62,755.9
"ENSG00000229676",368.7,192.95,43.09,108.25,19.3,32.05,89.93,75.05,384.07,423.95,124.07,146.18,70.29,108.65,72.52,115.17,62.37,36.53,77.31,39.31,285.9,197.18,95.01,95.85
"ENSG00000136143",404.01,661.21,194.71,644.91,91.7,390.37,276.36,371.9,1167.4,1389.14,117.63,1373.12,230.87,1164.15,1073.86,811.2,168.9,976.14,420.6,517.27,735.88,765.99,254.67,688.26
"ENSG00000188785",241.82,253.8,89.01,151.36,25.96,78.97,86.05,109.07,332.99,325.96,94.14,241.33,77.53,190.72,134.65,145.06,111.76,107.88,97.75,130.49,248.65,300.36,124.83,146.61
"ENSG00000105963",0,0,3,5,1,1,5,0,1,4,5,4,1,11,5.6,4,11,2,6.5,2,0,0,3,6
"ENSG00000139132",475.63,516.31,120.57,515.13,71.14,157.01,325.78,336.47,525.31,740.6,140.73,699.27,227.97,436.34,411.05,380.16,263.17,336.84,392.48,321.48,433.04,554.1,169.59,493.41
"ENSG00000143393",80.71,170.6,247.38,733,71,251,274.2,367,204,415.52,177,835,341,454,348.68,438.09,357,375,346,409.89,141.65,230.95,197,626.87
"ENSG00000213973",0,0,0,0,0,0,0,0,2.04,1.03,0,3,0,0,0,0,0,0,0,1,0,2,0,0
"ENSG00000106628",311,486,1157,2484,248,728,1316,1397,710,1050,920,3369,1200,1435,1481,1595,1223,1188,1701,1398,529,683,1026,2711
"ENSG00000143994",1,3,0,16,1,4,6,12,1,5,1,11,5,1,0,5,4,6,10,15,3,2,1,24
"ENSG00000116117",36,53,22,100,11,42,48,97,93,90,18,147,31,158,91,161,33,74,63,87,46,43,16,63
"ENSG00000082126",211.48,114.61,120.09,216.44,46.72,76.35,208.78,110.9,188.7,205.05,380.87,226.87,143.16,108.01,103.87,122.99,163.15,38.08,139.4,78.86,163.94,129.07,155.15,191.01
"ENSG00000161813",288.05,329.34,204.09,408.21,58.45,201.14,253.62,252.81,501.72,738.91,109.36,662.52,158.48,450.88,615.84,426.92,119.98,377.76,323.67,247.17,324.52,398.81,202.08,356.91
"ENSG00000100225",425.27,694.53,306.38,1397.84,188.22,631.84,579.86,923.82,1005.86,1397.11,219.11,2031.93,651.14,1256.05,1128.02,1085.76,629.86,1093.87,790.08,975.27,661.69,868.71,346.95,1331.35
"ENSG00000137216",10,11,24,91,14,20,101,53,13,23,21,90,61,100,48,49,75,40,96,48,11,22,24,80
"ENSG00000198478",467,285,25,200,39,116,106,150,443,699,29,345,114,305,423,293,82,196,149,164,307,299,52,184
"ENSG00000269067",4,3.33,2,0,0,0,1,0,11.02,13,2,7,0,0,16.23,7.99,0,0,2,4,7.54,5.09,0,1
"ENSG00000182676",5,3,1,2,0,5,2.01,1,3.6,7.18,2.9,0,4.02,0,1.02,2.04,0,0,2,0,5.01,0.19,0,1
"ENSG00000112462",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000188710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"ENSG00000154781",247,404,64,232,29,134,165,203,501,739,59,418,130,325,446,242,118,210,234,178,299,393,110,255
"ENSG00000255181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134825",4784,5187.89,3390.95,8307.17,1079.61,3615.59,5361.95,7754.51,4872.65,5353.94,3554.68,11444.23,4264.26,7250.98,5767.68,8833.46,4715.58,5509.32,7937.35,9495.61,4968.11,5501.22,5475.61,7937.63
"ENSG00000151360",0,2,0,3,0,0,1,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,2
"ENSG00000168787",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183850",8.53,11.55,0.97,2.06,1,0,0,0,18.01,27.72,1,6.11,0,2,4.38,3.78,0,0.99,1.01,1,8.32,2.03,0,3.01
"ENSG00000141664",124,207,64,151,39,74,137,124,178,323,58,202,101,169,200,146,90,105,182,129,113,206,87,139
"ENSG00000172016",25486.91,32767.31,3811.58,39645.63,9941.61,7729.08,21223.13,20792.92,7889.13,32065.81,2046.82,34274.19,18643.54,5921,18832.1,27851.32,37012.92,22219.54,14183.96,16384.07,16286.87,38650.16,5685.58,51858.3
"ENSG00000226941",0,1,0,0,0,0,0,0,1.52,2.97,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0
"ENSG00000118402",30,25,1,23,3,6,2,4,41,71,1,19,6,31,19,8,2,7,5,7,35,28,0,9
"ENSG00000137818",27946.62,29316.25,82807.53,112154.38,12582.65,32519.23,69152.85,52225.16,24234.8,21375.35,76898.57,95390.98,40775.31,33518.62,29361.43,38130.1,48077.95,37825.04,70834.7,52063.03,32410.69,33071.26,92594,122012.53
"ENSG00000262772",0,0,0,6,1,0,5,3,5,3,2,6,1,5,7,1,1,2,2,1,1,1,3,3
"ENSG00000196081",315.96,207.71,79.35,192.31,38.42,71.23,201.57,148.69,312.21,390.19,243.81,211.45,118.05,157.75,123.21,127.73,157.28,52.3,137.48,86.8,259.34,184.82,130.06,129.99
"ENSG00000104866",38.52,33.78,19.24,42.47,2,15.21,17.32,26.1,54.7,50.28,24.71,50.82,20.38,33.03,14.97,38.37,18.53,6.75,22.08,19.95,34.99,40,14.81,39.75
"ENSG00000262343",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000204694",29.1,18.89,2,3.06,0,0,2,5.88,67.35,112.53,4,14.65,2,5.33,21.49,6.46,1.03,1.94,1.11,5,37.66,14.36,1.98,3.87
"ENSG00000038274",273.89,412.08,137.85,479.11,58,189,301.02,207.33,617.72,978.84,115.48,726.89,155.69,350.18,702.21,308.37,182.21,359.65,408.03,231.62,409.47,543.48,238.55,397.42
"ENSG00000262585",0,0,1,1,0,1,5.77,1,1,0,1,0,1,3,5,0,0,0,1,0,1,1,0,0
"ENSG00000181085",0,0,0,1,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,3
"ENSG00000130720",1,1,1,0,0,1,0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,1,0,0
"ENSG00000262188",139.89,88.39,16.4,36.31,5.84,11.36,27.64,28.71,169.54,210.11,33.36,54.8,22.49,50.06,43.32,44.43,17.61,14.58,25.81,23.08,130.49,115.35,45.18,27.55
"ENSG00000165169",839.65,1643.89,410.24,757.05,97.39,449.81,374.7,464.88,2360.7,3271.8,335,1170.44,370.53,1050.94,1088.06,936.56,310.27,676.96,627,671.71,1633.24,2118.61,454.82,640.5
"ENSG00000168496",120,130,343,566,34,225,430,397,252,358,231,650,202,325,254,367,252,325,415,391,161,234,304,521
"ENSG00000126012",37,50,101,113,9,55,109,91,50.95,70.43,89,108,53.49,135,130,96.14,43,61,131,93,42.2,49.03,80,100.08
"ENSG00000167232",467.45,418.92,106.05,411.22,45.02,251.66,183.73,241.77,686.47,865.45,158.7,608.74,145.21,736.23,482.05,456.14,122.6,428.34,220.25,259.76,543.77,439.29,155.83,307.72
"ENSG00000256566",0,0,2.16,0,0,0,0,3.11,3.95,2.25,0,2.98,1.59,0,0.97,0,0,0,3.72,0,0,0,3.46,0
"ENSG00000117724",79.67,28.06,5.49,52.64,4,26,25.37,19.27,187.71,89.91,10.62,64.54,14.08,32.88,57.88,27.92,4,23.99,20.35,28.79,88.3,38.1,11.53,33.57
"ENSG00000108256",291.55,358.04,323.33,618.64,132.33,366.18,670.23,523.3,448.35,577.44,331.46,717.39,325.91,406.21,573.06,500.24,414.3,412.25,666.79,381.18,301.76,395.9,379,701.36
"ENSG00000112167",92,115,71,335,36,108,149,176,178.77,262.99,52,562,87,274,193.98,229.65,99.79,161,189,156,173,118,87,371.46
"ENSG00000186496",268.06,190.74,92.03,189.61,59.15,96.76,222.78,181.51,294.6,440.73,255.35,248.57,120.81,153.75,165.74,177.71,128.36,96.53,186.94,154.42,197.71,226.44,119.4,179.02
"ENSG00000173451",109.57,154.51,105.37,252.16,53.67,130.38,176.73,184.04,369.58,306.1,103.72,437.89,180.19,229.63,291.77,274.05,170.02,199.47,268.64,173.65,198.91,172.78,121.05,315.36
"ENSG00000268882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185624",358.62,623.48,1092.36,4358.1,362.89,629.04,1668.07,1393.47,471.8,1368.25,725.02,3696.75,1391.92,1176.27,1461.47,1656.14,1390.89,698.94,1373.57,1312.87,436.79,705.27,919.85,2790.54
"ENSG00000254536",0,0,28.09,23.44,0,0,12.93,5.52,0,12.08,0,12.32,17.88,10.54,21.16,9.61,0,0,7.97,0,0,8.26,14.71,0
"ENSG00000088876",44.29,47.37,35.8,115.37,16.11,51.57,73.7,67.14,74.23,112.49,26.5,131.87,51.7,66.8,69.07,90.65,43.41,77.17,93.67,86.96,40.85,69.64,25.67,76.02
"ENSG00000269533",0,4.41,4.61,13.33,0,4.67,9.19,19.46,1.56,6.22,6.85,37.44,3.67,9.33,6.6,5.12,4.05,16.82,18.64,14.07,2,0,0.48,10.89
"ENSG00000204152",3.47,105.25,4.39,36.08,1.07,13.21,9.02,27.11,102.69,80.52,19.22,60.75,27.42,36.5,46.28,21.97,9.89,16.63,34.92,17.35,52.64,52.1,8.02,33.29
"ENSG00000101096",14,31,12,37,1,14,17,53,28,62,12,38,16,35,35,92,15,22,13,64,16,50,14,30
"ENSG00000136436",1567.25,1949.89,692.94,2503.76,367.9,1131.54,1142.05,1775.17,2740.44,3668.19,616.43,4589.34,1178.47,2594.96,2390.83,2679.46,1128.46,2313.89,1601.94,1976.88,1928.3,2264.28,976.88,2395.24
"ENSG00000156976",10413,16819,5000.53,14446.73,1712,7853,4449,10200.91,20883,18664,3073,25460.88,5238,16288,13549,15023.96,4591,14749,6982,11248.98,23408.06,16279,6750.89,15249.8
"ENSG00000198711",0,1,0,5,0,7,1,0,2,2,0,4,1,5,4,5,2,1,4,2,0,0,1,5
"ENSG00000006611",295,530,139,2088,284,874,777,1383,815,1268,128,3465,1291,1316,953,1491,1391,1366,1014,1347,511,625,116,2295
"ENSG00000127831",164.48,224.63,115.53,1385.77,188.64,326.04,499.98,658.61,382.69,581.29,102.53,1528.51,637.73,363.24,487.27,741.63,665.54,469.32,797.43,778.21,181.11,295.27,106.69,1109.88
"ENSG00000187516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000179846",0,0,1,0,0,1,0,0,1.15,3.45,0,0,0,0,1,0,1,1.15,0,1.15,2.3,0,0,2
"ENSG00000164305",85,249,58,248,21,101,136,125,290,467,26,324,58,178,292,168,60,171,163,120,222,266,69,220
"ENSG00000260369",0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,1,0,4,0
"ENSG00000267140",0,0,0,0,0,0.74,4.46,0.7,0,0,0,0,1.43,1.27,0,2.38,0,1.2,0,1.55,0,2.59,2.36,2.91
"ENSG00000214866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000113810",66.45,90.28,15,39,6.43,29.82,11.91,23.6,164.73,176.57,19.76,68.58,4.03,86.89,112.96,66.31,8.58,38.01,22.32,16.55,67.94,91.1,40.31,36.52
"ENSG00000164626",12,18,21,68,9,12,79,27,3,23,22,91,21,15,79,8,37,17,67,26,8,6,26,76
"ENSG00000136522",457,754,171,444,71,246,270,373,1023,1496,155,929,207,762,1107,730,149,667,381,416,740,954,360,424
"ENSG00000169245",4,12,1,3,0,3,14,0,8,14,2,7,2,1,56,13,1,3,3,0,0,5,0,5
"ENSG00000148824",66,120.62,239.26,881.42,62,163.58,445.25,355.98,205,386.25,256.63,1274.5,343.49,377.01,346.14,396.06,300.07,204.7,313.03,258.51,172,174.31,268.2,883.4
"ENSG00000241973",118.48,142.8,181.81,1486.36,184.3,522.14,531.02,726.67,194.1,296.48,147.79,1397.55,642.05,846.86,405.22,655.05,581.13,613.18,709.93,612.07,152.08,146.24,152.71,1158.09
"ENSG00000007255",87,141,64,735,97,287,644,621,223,309,112,1250,425,400,437,572,546,380,772,552,159,211,90,1134
"ENSG00000162390",262.2,175.43,87.11,398.84,61.08,162.1,317.98,303.67,386.18,484.28,155.59,532.04,291.16,339.55,246.28,306.23,284.46,191.74,343.79,218.79,204.58,215.23,107.56,471.11
"ENSG00000147041",4,8,4,4,7,1,7,12,3,24,2,4,18,4,12,17,11,3,5,10,1,6,4,3
"ENSG00000153391",254.9,312.34,124.13,402.46,76.69,220.43,410.64,422.61,452.74,687.36,185.94,714.16,267.66,503.65,486.44,433.53,287.93,382.63,522.89,454.38,282.5,382.87,188.43,493.44
"ENSG00000050555",24.17,19.95,25,75.95,12.02,49.17,77.33,84.3,23.78,61.22,34.1,60.99,46.45,53.64,45.15,97.25,16.45,39.53,87.63,75.9,11.83,29.2,33.93,45.52
"ENSG00000254106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000149488",14.47,12.69,1.03,3,0,4,7.54,10.84,20.46,28.2,14.88,17.02,6.82,9.53,6.89,9.71,1.25,3.86,8.63,7.11,5.08,10.24,6.33,3.27
"ENSG00000157335",1.08,0,0.21,0,0,1.56,0,3.98,0,0.82,0.1,3.66,0,0,10.08,7.93,2.28,5,0,0,2,1,1.27,1.94
"ENSG00000169248",2,5,5,11,0,0,6,2,11,4,6,23,0,2,2,5,0,1,5,1,10,5,7,22
"ENSG00000134824",105.18,161.65,58.77,316.16,40.56,153.75,438.3,375.63,168.48,297.33,51.93,388.93,190.48,467.25,319.37,678.34,223.11,175.9,323.06,439.66,169.73,193.9,59.11,269.28
"ENSG00000235356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204178",89,143,98,176,26,120,164,112,145,219,59,266,92,212,227,199,99,159,153,112,90,114,125,163
"ENSG00000110801",916.46,926.47,911.99,2525.39,332.17,582.3,1690.67,1240.56,1291.47,1897.78,1078.43,3256.34,1094.14,1043.01,1408.33,1449.19,1327.33,1032.74,1970.16,1147.19,1018.62,1197.13,1071.57,2840.54
"ENSG00000228065",26.71,27.5,6.72,21.34,3.92,8.51,11.09,25.51,51.66,59.8,15.79,31.91,8.29,21.9,24.98,24.94,13.52,11.94,20.24,13.22,24.86,32.18,13.56,24.21
"ENSG00000257474",0,1,0,1,0,0,0,0,1,0,1,0.73,1,0.71,1,1,1,0,3.01,0,2.15,1.05,1,0
"ENSG00000167525",7,6,2,28,5,8,12,7,5,10,2,29,17,13,14,17,6,11,18,7,9,3,6,25
"ENSG00000135587",6,7,11,45,2,10,28,18,3,13,8,35,19,9,30.41,30,12,5,13,18.97,5,4,13,26
"ENSG00000258048",0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187871",24.64,13.41,2.1,6.01,0.6,0,1.62,8.81,18.86,31.1,4.47,0,0,7.39,17.52,5.42,4.72,5.6,8.25,3.21,11.32,10.56,0,7.77
"ENSG00000160551",870.04,687.55,256.03,806,125.99,404.61,623.99,582.68,1046.35,1518.97,545.04,1223.71,445.23,1013.76,716.64,771.31,409.92,551.1,597.36,409.81,801.98,712.27,410.04,637.59
"ENSG00000186952",24,34.35,5,17,4,9,10,31,61,106,5,39,11,41,47,33,17,14,14,25,34,38,11,20
"ENSG00000125629",163,275,206,255,23,135,215,83,363,589,161,321,51,225,554,174,36,252,204,107,302,372,364,167
"ENSG00000189114",515.23,489.27,854.43,1642.07,245.27,682.06,887.47,1030.76,521.6,814.24,769.61,2313.49,694.24,808.29,819.06,824.19,748.27,887.75,1183.45,827.35,321.13,521.21,796.26,1662.67
"ENSG00000186090",1,1,0,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0
"ENSG00000136159",304.18,435.18,120.7,247.7,40.3,114.5,156.61,192.32,481.84,700.61,139.28,409.42,134.19,391.03,349.49,296.55,110.23,239.69,184.14,174.51,459.89,492.88,217.66,213.91
"ENSG00000165678",3345,5452,4378,7546,1017,3574,4693,5439,5548,7835,2705,10515,3257,6497,7318,6261,3721,6801,7113,6187,4659,6285,4662,7678
"ENSG00000258728",0,0,0,2.37,0,0,0,0,0,0,0,5.24,0,0,0,1.88,0,0,0,0,0,0,0,4.63
"ENSG00000075624",81102.99,106565.77,962444.55,403114.9,14287.98,54177.97,221390.53,75531.63,46181.83,69653.13,657456.65,193424.84,59437.43,51251.22,75040.8,50572.42,61941.03,44581.97,91426.77,32063.54,75917.22,115384.54,712608.14,316097.08
"ENSG00000180921",23.69,26.69,31.23,94.52,8.02,17.63,80.66,40.38,26.68,28.17,47.96,112.58,38.73,55.01,61.98,40.74,41.25,26.23,94.26,37.95,21.25,20.86,42.95,79.32
"ENSG00000167791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000264422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000155729",172.33,126.84,50.84,122.01,25.05,33.78,76.4,92.45,252.24,304.43,63.53,187.6,64.37,97.09,114.17,132.57,66.92,53.15,77.42,64.62,159.39,176.13,66.92,112.07
"ENSG00000267545",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0
"ENSG00000203434",16.33,7.46,0,2.16,0,0.94,2.71,2.23,7.14,14.66,6.81,3.55,0.99,3.89,3.41,0,5.58,1.95,7.49,3.03,7.03,2.74,0,2.05
"ENSG00000266958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
