"","baseline-03182015_S2","baseline-03272015_S8","baseline-05202015-Islet-15_S1","baseline-05222015-Islet-16_S6","baseline-09032015_S2","baseline-09102015_S7","baseline-10012015_S12","baseline-10292015_S17","Single-cell-bulk-03182015_S4","Single-cell-bulk-03272015_S10","Single-cell-bulk-05202015_S3","Single-cell-bulk-05222015_S8","Single-cell-bulk-c1-09032015_S5","Single-cell-bulk-c1-09102015_S10","Single-cell-bulk-c1-10012015_S15","Single-cell-bulk-c1-10292015_S20","undissociated-c1-ctrl-09032015_S3","undissociated-c1-ctrl-09102015_S8","undissociated-c1-ctrl-10012015_S13","undissociated-c1-ctrl-10292015_S18","Untreated-Ctrl-03182015_S3","Untreated-Ctrl-03272015_S9","Untreated-Ctrl-05202015_S2","Untreated-Ctrl-05222015_S7"
"ENSG00000233730",1,5,0,1,0,0,1,1,7,11,0,3,0,5,4,6,0,4,2,1,2,6,0,1
"ENSG00000224307",0,1,0,7,1,0,4,4,0,1,0,8,2,2,2,4,1,7,4,3,0,1,2,4
"ENSG00000232100",21.39,15.97,2.7,10.95,4,2.64,11.58,13.78,29.66,46.16,9.34,14.15,6.88,11.27,5.46,14.17,4.28,3.51,9.66,7.14,19.09,17.77,2.01,10.82
"ENSG00000236009",0,1,0,0,0,0,0,0,0,0.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000013441",180.78,504.82,163.93,473.79,60,224.14,91.99,241.05,1000.74,1224.98,152.24,1024.28,177.03,732.8,944.36,713.78,48.27,324.02,176.95,197.07,406.61,430.11,248.89,254.07
"ENSG00000176438",14.61,20.37,7.65,9.01,3.74,6.23,25.79,16.19,22.81,42.88,12.78,18.58,12.09,14.05,15.42,15.22,12.53,7.86,20.27,12.6,30.16,21.7,4.54,14.48
"ENSG00000254262",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172977",144.88,247.33,382.06,1317.47,94.35,406.47,593.93,598.57,331.7,557.07,310.88,1480.98,454.43,561.14,520.77,595.06,501.98,623.25,781.9,541.31,245.88,322.8,340.14,1279.75
"ENSG00000179165",2,4,2,0,0,1,0,1,1,3,2,2,0,4,2,3,0,3,0,2,0,1,0,0
"ENSG00000163811",440,655,288,390,81,222,516,338,545,921,226,606,279,662,749,480,240,368,573,336,451,698,398,385
"ENSG00000141452",36.12,30.38,17,102.01,10.59,35.88,45.11,54.6,62.81,99.24,21.1,135.27,36.92,84.05,68.59,120.19,64.88,35.01,56.25,59.84,31.51,34.43,29.22,62.61
"ENSG00000182902",1.91,1,0,4.67,1.33,0.09,9.29,7.63,3.29,4.63,14.28,9.69,5.53,12.88,3.01,6.49,3.53,3.56,16.59,8.36,1.14,7,4.56,16.13
"ENSG00000254306",0,2,0,1,0,0,0,0,0,1.83,0,0,0,1,1,0,0,0,0,1,3.01,2.1,0,1
"ENSG00000137802",52.36,39.78,56.34,146.06,11.58,47.54,79.44,89.69,67.51,71.79,65.28,178.16,72.93,176.78,80.04,128.49,61.11,35.89,76.9,72.21,38.81,49.99,46.64,126.59
"ENSG00000163002",75.22,151.16,53,153.36,21.47,99.45,69.26,69.98,233.02,399.41,53.58,333.74,55,239.82,295.46,166.74,33.12,181.83,108.55,100.8,130.52,177,120.97,145.06
"ENSG00000230690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249356",1.08,0,1.09,1.01,0,0.94,1,0,6.17,6.68,2,1.02,0,0,6.05,2.92,0,0,0,0,2.5,0,0,2
"ENSG00000243710",23,38,111,182.65,12.21,43.19,96.21,49.24,39.63,60.68,64.52,156.34,64.34,90.55,74.22,100.23,47.24,35.15,151.74,84.88,30.13,43.86,96.7,169.8
"ENSG00000223387",6,3,6.88,14,0,1,7,1,19,24.93,6,17,0,7,12,3,3,1,14,1,6,11,8,22
"ENSG00000189419",1,2,1,7,0,3,3,7,5,1,2,9.11,4,10,7,1,7,7,2,6,0,0,0,5
"ENSG00000177427",220.37,109.72,41.89,148.24,27.35,60.04,110.17,98.1,219.97,250.4,87.94,208.71,67.16,145.8,106.91,118.48,76.21,65.56,92.12,70.6,205.6,145.12,69.98,91.1
"ENSG00000139579",252.01,409.18,386.96,816.65,117.79,346.23,505.3,672.16,407.31,541.28,391.94,1143.06,367.12,522.67,457.84,521.33,429.73,574.82,610.71,645.16,354.9,431.51,544.94,772.22
"ENSG00000268615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186132",183,229,91,167,19,78,94,139,330,421,59,392,79,308,327,273,51,159,164,205,248,259,130,196
"ENSG00000225561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167600",0,1,0,5,0,3,4,2,0,2,2,2,3,0,3,0,0,1,4,3,0,1,0,1
"ENSG00000258711",65.96,47.93,25.57,62.85,18.97,27.88,56.05,36.16,74.14,103.07,38.71,87.59,46.49,69.81,36.5,57.45,52.81,23.1,51.45,33.81,47.61,56.97,33.49,66.1
"ENSG00000124074",12,8,12,56,8,21,40,23,4,19,16,56,31,35,41,41,30,22,50,39,12,12,8,54
"ENSG00000233901",63.46,88.61,63.34,103.68,28.58,59.67,222,101.92,65.21,157.19,58.22,139.89,59.29,116.42,170.83,59.01,88.62,76.9,216.24,76.3,43.69,75.48,59.08,103.04
"ENSG00000183795",0,0,0,0,0,0,0,0,0.67,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.33
"ENSG00000131015",11.81,52.59,64.16,88.84,22.82,43.49,96.95,217.29,41.36,115.89,41.38,67.16,30.93,50.46,54.18,129.79,41.09,60.52,135.52,146.26,26.65,71.47,73.8,82.68
"ENSG00000254339",0,0,1.12,1.81,2.01,2.02,0,6.31,5.99,1,0,3.65,1,4,1,2.02,2.69,0,1.99,1.63,3.69,1,1,2.01
"ENSG00000223842",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260091",1.31,2.51,17.93,8.95,6.78,14.5,8.34,28.33,1.25,1.33,7.46,21.68,11.43,12.52,9.91,30.47,14.58,21.16,20.03,37.99,0,3.1,3.53,28.55
"ENSG00000228536",0.96,0,7.31,0,0,0.48,4.72,0,1.08,0,3.01,1.13,0,3.32,3.11,1.38,4.15,1.57,5.57,1,2.34,0,3.35,1.6
"ENSG00000086506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"ENSG00000168032",215.76,222.23,116.51,2101.56,114.68,421.05,247.31,773.48,518.14,409.12,64.16,2720.3,325.47,889.4,402.39,851.92,358.78,830.16,406.8,665.68,469.13,246.64,111.22,1795.71
"ENSG00000230024",1,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0,1,2,3,0
"ENSG00000008196",0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258955",1,1.39,0,4.74,0,1,12,5,6.2,5.03,0,7,0,2.9,3,1,5.02,3,2.98,0,1,3.73,0,5.15
"ENSG00000251359",0,0,0,1,0,0,0,0,2,2,0,0,0,1,4,0,0,2,0,0,0,0,1,0
"ENSG00000228127",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,1
"ENSG00000223586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000258479",0,0,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ENSG00000238232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235933",0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,2,1,2,1,0,0,0,2
"ENSG00000236299",7.01,3,1.67,0.63,0,1.06,0,1,6.36,6.53,0,5.05,2.98,2.12,1.21,0.92,1.23,0,0.69,1.18,1.74,2.02,0,0
